film_id,term_id,relevance_weight,assignment_type,assigned_date
1,21,1,auto_mapped,2025-06-16 02:32:45
1,55,2,auto_mapped,2025-06-16 02:32:45
1,32,2,auto_mapped,2025-06-16 02:32:45
1,39,2,auto_mapped,2025-06-16 02:32:45
2,56,2,auto_mapped,2025-06-16 02:32:45
3,9,2,auto_mapped,2025-06-16 02:32:45
4,55,2,auto_mapped,2025-06-16 02:32:45
6,12,1,auto_mapped,2025-06-16 02:32:45
6,34,1,auto_mapped,2025-06-16 02:32:45
6,43,2,auto_mapped,2025-06-16 02:32:45
7,64,2,auto_mapped,2025-06-16 02:32:45
7,30,2,auto_mapped,2025-06-16 02:32:45
7,10,2,auto_mapped,2025-06-16 02:32:45
8,64,2,auto_mapped,2025-06-16 02:32:45
8,21,2,auto_mapped,2025-06-16 02:32:45
8,43,2,auto_mapped,2025-06-16 02:32:45
8,62,2,auto_mapped,2025-06-16 02:32:45
8,46,2,auto_mapped,2025-06-16 02:32:45
8,23,2,auto_mapped,2025-06-16 02:32:45
9,42,1,auto_mapped,2025-06-16 02:32:45
9,62,2,auto_mapped,2025-06-16 02:32:45
9,12,1,auto_mapped,2025-06-16 02:32:45
9,43,2,auto_mapped,2025-06-16 02:32:45
9,31,2,auto_mapped,2025-06-16 02:32:45
9,46,2,auto_mapped,2025-06-16 02:32:45
9,23,2,auto_mapped,2025-06-16 02:32:45
10,21,2,auto_mapped,2025-06-16 02:32:45
11,32,2,auto_mapped,2025-06-16 02:32:45
13,42,1,auto_mapped,2025-06-16 02:32:45
13,34,1,auto_mapped,2025-06-16 02:32:45
15,46,2,auto_mapped,2025-06-16 02:32:45
15,62,1,auto_mapped,2025-06-16 02:32:45
15,35,1,auto_mapped,2025-06-16 02:32:45
16,1,2,auto_mapped,2025-06-16 02:32:45
16,21,1,auto_mapped,2025-06-16 02:32:45
17,12,1,auto_mapped,2025-06-16 02:32:45
17,3,2,auto_mapped,2025-06-16 02:32:45
17,50,2,auto_mapped,2025-06-16 02:32:45
17,30,2,auto_mapped,2025-06-16 02:32:45
17,62,2,auto_mapped,2025-06-16 02:32:45
17,52,2,auto_mapped,2025-06-16 02:32:45
17,43,2,auto_mapped,2025-06-16 02:32:45
17,21,2,auto_mapped,2025-06-16 02:32:45
17,1,2,auto_mapped,2025-06-16 02:32:45
17,8,2,auto_mapped,2025-06-16 02:32:45
18,40,2,auto_mapped,2025-06-16 02:32:45
18,64,2,auto_mapped,2025-06-16 02:32:45
18,62,2,auto_mapped,2025-06-16 02:32:45
18,3,2,auto_mapped,2025-06-16 02:32:45
18,41,2,auto_mapped,2025-06-16 02:32:45
18,8,2,auto_mapped,2025-06-16 02:32:45
18,23,2,auto_mapped,2025-06-16 02:32:45
19,40,2,auto_mapped,2025-06-16 02:32:45
19,34,2,auto_mapped,2025-06-16 02:32:45
19,41,2,auto_mapped,2025-06-16 02:32:45
19,31,2,auto_mapped,2025-06-16 02:32:45
19,56,2,auto_mapped,2025-06-16 02:32:45
20,42,1,auto_mapped,2025-06-16 02:32:45
20,12,1,auto_mapped,2025-06-16 02:32:45
21,31,2,auto_mapped,2025-06-16 02:32:45
21,34,1,auto_mapped,2025-06-16 02:32:45
22,42,1,auto_mapped,2025-06-16 02:32:45
22,62,1,auto_mapped,2025-06-16 02:32:45
22,32,2,auto_mapped,2025-06-16 02:32:45
22,31,2,auto_mapped,2025-06-16 02:32:45
23,38,2,auto_mapped,2025-06-16 02:32:45
24,40,2,auto_mapped,2025-06-16 02:32:45
24,21,2,auto_mapped,2025-06-16 02:32:45
24,12,1,auto_mapped,2025-06-16 02:32:45
24,32,2,auto_mapped,2025-06-16 02:32:45
24,55,2,auto_mapped,2025-06-16 02:32:45
24,39,2,auto_mapped,2025-06-16 02:32:45
24,56,2,auto_mapped,2025-06-16 02:32:45
25,38,2,auto_mapped,2025-06-16 02:32:45
25,37,2,auto_mapped,2025-06-16 02:32:45
25,2,2,auto_mapped,2025-06-16 02:32:45
25,64,2,auto_mapped,2025-06-16 02:32:45
25,35,2,auto_mapped,2025-06-16 02:32:45
25,31,2,auto_mapped,2025-06-16 02:32:45
26,12,1,auto_mapped,2025-06-16 02:32:45
26,21,2,auto_mapped,2025-06-16 02:32:45
27,38,2,auto_mapped,2025-06-16 02:32:45
27,37,2,auto_mapped,2025-06-16 02:32:45
27,2,2,auto_mapped,2025-06-16 02:32:45
27,64,2,auto_mapped,2025-06-16 02:32:45
27,21,1,auto_mapped,2025-06-16 02:32:45
28,12,1,auto_mapped,2025-06-16 02:32:45
28,21,1,auto_mapped,2025-06-16 02:32:45
28,50,2,auto_mapped,2025-06-16 02:32:45
28,41,2,auto_mapped,2025-06-16 02:32:45
28,32,2,auto_mapped,2025-06-16 02:32:45
28,31,2,auto_mapped,2025-06-16 02:32:45
28,43,2,auto_mapped,2025-06-16 02:32:45
29,12,1,auto_mapped,2025-06-16 02:32:45
29,50,2,auto_mapped,2025-06-16 02:32:45
29,21,2,auto_mapped,2025-06-16 02:32:45
29,41,2,auto_mapped,2025-06-16 02:32:45
30,12,1,auto_mapped,2025-06-16 02:32:45
30,50,2,auto_mapped,2025-06-16 02:32:45
30,62,1,auto_mapped,2025-06-16 02:32:45
30,32,2,auto_mapped,2025-06-16 02:32:45
30,21,1,auto_mapped,2025-06-16 02:32:45
30,41,2,auto_mapped,2025-06-16 02:32:45
31,62,1,auto_mapped,2025-06-16 02:32:45
31,40,2,auto_mapped,2025-06-16 02:32:45
31,55,2,auto_mapped,2025-06-16 02:32:45
32,37,2,auto_mapped,2025-06-16 02:32:45
32,62,1,auto_mapped,2025-06-16 02:32:45
32,34,2,auto_mapped,2025-06-16 02:32:45
33,31,2,auto_mapped,2025-06-16 02:32:45
33,10,2,auto_mapped,2025-06-16 02:32:45
34,42,1,auto_mapped,2025-06-16 02:32:45
34,37,2,auto_mapped,2025-06-16 02:32:45
34,64,2,auto_mapped,2025-06-16 02:32:45
34,12,1,auto_mapped,2025-06-16 02:32:45
34,32,2,auto_mapped,2025-06-16 02:32:45
35,64,2,auto_mapped,2025-06-16 02:32:45
35,10,2,auto_mapped,2025-06-16 02:32:45
35,31,2,auto_mapped,2025-06-16 02:32:45
36,21,1,auto_mapped,2025-06-16 02:32:45
36,31,2,auto_mapped,2025-06-16 02:32:45
36,1,2,auto_mapped,2025-06-16 02:32:45
36,39,2,auto_mapped,2025-06-16 02:32:45
37,40,2,auto_mapped,2025-06-16 02:32:45
37,32,3,auto_mapped,2025-06-16 02:32:45
37,8,2,auto_mapped,2025-06-16 02:32:45
37,31,2,auto_mapped,2025-06-16 02:32:45
37,62,1,auto_mapped,2025-06-16 02:32:45
38,64,2,auto_mapped,2025-06-16 02:32:45
38,2,2,auto_mapped,2025-06-16 02:32:45
39,12,1,auto_mapped,2025-06-16 02:32:45
39,52,2,auto_mapped,2025-06-16 02:32:45
41,62,2,auto_mapped,2025-06-16 02:32:45
41,3,2,auto_mapped,2025-06-16 02:32:45
41,12,1,auto_mapped,2025-06-16 02:32:45
41,21,1,auto_mapped,2025-06-16 02:32:45
42,62,1,auto_mapped,2025-06-16 02:32:45
42,1,2,auto_mapped,2025-06-16 02:32:45
42,41,2,auto_mapped,2025-06-16 02:32:45
43,21,2,auto_mapped,2025-06-16 02:32:45
44,9,2,auto_mapped,2025-06-16 02:32:45
44,2,2,auto_mapped,2025-06-16 02:32:45
44,24,2,auto_mapped,2025-06-16 02:32:45
44,62,1,auto_mapped,2025-06-16 02:32:45
45,40,2,auto_mapped,2025-06-16 02:32:45
45,1,2,auto_mapped,2025-06-16 02:32:45
45,41,2,auto_mapped,2025-06-16 02:32:45
45,52,2,auto_mapped,2025-06-16 02:32:45
46,64,2,auto_mapped,2025-06-16 02:32:45
46,24,2,auto_mapped,2025-06-16 02:32:45
46,12,1,auto_mapped,2025-06-16 02:32:45
46,10,2,auto_mapped,2025-06-16 02:32:45
46,62,1,auto_mapped,2025-06-16 02:32:45
47,64,2,auto_mapped,2025-06-16 02:32:45
48,32,2,auto_mapped,2025-06-16 02:32:45
48,10,2,auto_mapped,2025-06-16 02:32:45
48,43,2,auto_mapped,2025-06-16 02:32:45
50,21,2,auto_mapped,2025-06-16 02:32:45
51,64,2,auto_mapped,2025-06-16 02:32:45
51,30,2,auto_mapped,2025-06-16 02:32:45
51,12,1,auto_mapped,2025-06-16 02:32:45
52,21,2,auto_mapped,2025-06-16 02:32:45
52,34,2,auto_mapped,2025-06-16 02:32:45
52,31,2,auto_mapped,2025-06-16 02:32:45
53,62,1,auto_mapped,2025-06-16 02:32:45
54,10,2,auto_mapped,2025-06-16 02:32:45
55,62,1,auto_mapped,2025-06-16 02:32:45
55,1,2,auto_mapped,2025-06-16 02:32:45
55,50,2,auto_mapped,2025-06-16 02:32:45
55,31,2,auto_mapped,2025-06-16 02:32:45
56,64,2,auto_mapped,2025-06-16 02:32:45
56,10,3,auto_mapped,2025-06-16 02:32:45
56,1,2,auto_mapped,2025-06-16 02:32:45
57,64,2,auto_mapped,2025-06-16 02:32:45
57,42,1,auto_mapped,2025-06-16 02:32:45
57,38,2,auto_mapped,2025-06-16 02:32:45
57,12,1,auto_mapped,2025-06-16 02:32:45
57,31,2,auto_mapped,2025-06-16 02:32:45
57,21,1,auto_mapped,2025-06-16 02:32:45
58,21,1,auto_mapped,2025-06-16 02:32:45
58,1,2,auto_mapped,2025-06-16 02:32:45
58,34,2,auto_mapped,2025-06-16 02:32:45
58,10,2,auto_mapped,2025-06-16 02:32:45
58,31,2,auto_mapped,2025-06-16 02:32:45
58,23,2,auto_mapped,2025-06-16 02:32:45
59,38,2,auto_mapped,2025-06-16 02:32:45
59,21,1,auto_mapped,2025-06-16 02:32:45
59,10,2,auto_mapped,2025-06-16 02:32:45
60,64,2,auto_mapped,2025-06-16 02:32:45
60,24,2,auto_mapped,2025-06-16 02:32:45
60,31,2,auto_mapped,2025-06-16 02:32:45
60,56,2,auto_mapped,2025-06-16 02:32:45
61,42,1,auto_mapped,2025-06-16 02:32:45
61,55,2,auto_mapped,2025-06-16 02:32:45
61,32,2,auto_mapped,2025-06-16 02:32:45
61,56,2,auto_mapped,2025-06-16 02:32:45
62,30,2,auto_mapped,2025-06-16 02:32:45
63,30,2,auto_mapped,2025-06-16 02:32:45
63,34,1,auto_mapped,2025-06-16 02:32:45
63,38,2,auto_mapped,2025-06-16 02:32:45
63,12,1,auto_mapped,2025-06-16 02:32:45
63,3,2,auto_mapped,2025-06-16 02:32:45
64,62,1,auto_mapped,2025-06-16 02:32:45
64,1,2,auto_mapped,2025-06-16 02:32:45
64,50,2,auto_mapped,2025-06-16 02:32:45
65,24,2,auto_mapped,2025-06-16 02:32:45
65,37,2,auto_mapped,2025-06-16 02:32:45
65,10,2,auto_mapped,2025-06-16 02:32:45
66,1,2,auto_mapped,2025-06-16 02:32:45
66,10,2,auto_mapped,2025-06-16 02:32:45
66,56,2,auto_mapped,2025-06-16 02:32:45
67,3,2,auto_mapped,2025-06-16 02:32:45
67,10,2,auto_mapped,2025-06-16 02:32:45
69,32,2,auto_mapped,2025-06-16 02:32:45
69,3,2,auto_mapped,2025-06-16 02:32:45
69,55,2,auto_mapped,2025-06-16 02:32:45
70,42,1,auto_mapped,2025-06-16 02:32:45
70,12,2,auto_mapped,2025-06-16 02:32:45
70,35,1,auto_mapped,2025-06-16 02:32:45
70,3,2,auto_mapped,2025-06-16 02:32:45
70,55,2,auto_mapped,2025-06-16 02:32:45
71,21,1,auto_mapped,2025-06-16 02:32:45
71,2,2,auto_mapped,2025-06-16 02:32:45
72,8,2,auto_mapped,2025-06-16 02:32:45
73,42,1,auto_mapped,2025-06-16 02:32:45
73,12,1,auto_mapped,2025-06-16 02:32:45
73,61,2,auto_mapped,2025-06-16 02:32:45
74,12,1,auto_mapped,2025-06-16 02:32:45
74,55,2,auto_mapped,2025-06-16 02:32:45
74,43,2,auto_mapped,2025-06-16 02:32:45
75,62,1,auto_mapped,2025-06-16 02:32:45
75,42,1,auto_mapped,2025-06-16 02:32:45
75,3,2,auto_mapped,2025-06-16 02:32:45
76,12,1,auto_mapped,2025-06-16 02:32:45
76,38,2,auto_mapped,2025-06-16 02:32:45
76,23,2,auto_mapped,2025-06-16 02:32:45
77,40,2,auto_mapped,2025-06-16 02:32:45
77,3,2,auto_mapped,2025-06-16 02:32:45
77,2,2,auto_mapped,2025-06-16 02:32:45
77,44,2,auto_mapped,2025-06-16 02:32:45
78,40,2,auto_mapped,2025-06-16 02:32:45
78,44,2,auto_mapped,2025-06-16 02:32:45
79,64,2,auto_mapped,2025-06-16 02:32:45
79,44,2,auto_mapped,2025-06-16 02:32:45
81,40,2,auto_mapped,2025-06-16 02:32:45
81,12,1,auto_mapped,2025-06-16 02:32:45
81,64,2,auto_mapped,2025-06-16 02:32:45
81,44,2,auto_mapped,2025-06-16 02:32:45
82,3,2,auto_mapped,2025-06-16 02:32:45
82,55,2,auto_mapped,2025-06-16 02:32:45
82,34,2,auto_mapped,2025-06-16 02:32:45
83,24,2,auto_mapped,2025-06-16 02:32:45
84,8,2,auto_mapped,2025-06-16 02:32:45
85,12,1,auto_mapped,2025-06-16 02:32:45
85,55,2,auto_mapped,2025-06-16 02:32:45
86,10,2,auto_mapped,2025-06-16 02:32:45
87,55,2,auto_mapped,2025-06-16 02:32:45
87,41,2,auto_mapped,2025-06-16 02:32:45
88,55,2,auto_mapped,2025-06-16 02:32:45
89,41,2,auto_mapped,2025-06-16 02:32:45
89,21,2,auto_mapped,2025-06-16 02:32:45
89,55,2,auto_mapped,2025-06-16 02:32:45
89,31,2,auto_mapped,2025-06-16 02:32:45
89,39,2,auto_mapped,2025-06-16 02:32:45
90,46,2,auto_mapped,2025-06-16 02:32:45
91,50,2,auto_mapped,2025-06-16 02:32:45
91,21,1,auto_mapped,2025-06-16 02:32:45
91,31,2,auto_mapped,2025-06-16 02:32:45
92,64,2,auto_mapped,2025-06-16 02:32:45
92,32,2,auto_mapped,2025-06-16 02:32:45
92,31,2,auto_mapped,2025-06-16 02:32:45
93,10,2,auto_mapped,2025-06-16 02:32:45
94,12,1,auto_mapped,2025-06-16 02:32:45
94,62,2,auto_mapped,2025-06-16 02:32:45
94,21,2,auto_mapped,2025-06-16 02:32:45
94,31,2,auto_mapped,2025-06-16 02:32:45
94,8,2,auto_mapped,2025-06-16 02:32:45
94,46,2,auto_mapped,2025-06-16 02:32:45
95,21,1,auto_mapped,2025-06-16 02:32:45
96,40,2,auto_mapped,2025-06-16 02:32:45
97,2,2,auto_mapped,2025-06-16 02:32:45
97,35,1,auto_mapped,2025-06-16 02:32:45
98,24,2,auto_mapped,2025-06-16 02:32:45
98,21,2,auto_mapped,2025-06-16 02:32:45
98,31,2,auto_mapped,2025-06-16 02:32:45
99,62,2,auto_mapped,2025-06-16 02:32:45
99,40,2,auto_mapped,2025-06-16 02:32:45
99,43,2,auto_mapped,2025-06-16 02:32:45
99,39,2,auto_mapped,2025-06-16 02:32:45
99,50,2,auto_mapped,2025-06-16 02:32:45
99,31,2,auto_mapped,2025-06-16 02:32:45
99,44,2,auto_mapped,2025-06-16 02:32:45
100,21,2,auto_mapped,2025-06-16 02:32:45
100,31,2,auto_mapped,2025-06-16 02:32:45
101,12,1,auto_mapped,2025-06-16 02:32:45
102,64,2,auto_mapped,2025-06-16 02:32:45
102,62,2,auto_mapped,2025-06-16 02:32:45
102,2,2,auto_mapped,2025-06-16 02:32:45
103,62,1,auto_mapped,2025-06-16 02:32:45
103,10,2,auto_mapped,2025-06-16 02:32:45
103,64,2,auto_mapped,2025-06-16 02:32:45
103,31,2,auto_mapped,2025-06-16 02:32:45
104,40,2,auto_mapped,2025-06-16 02:32:45
104,64,2,auto_mapped,2025-06-16 02:32:45
104,62,2,auto_mapped,2025-06-16 02:32:45
104,43,2,auto_mapped,2025-06-16 02:32:45
105,64,2,auto_mapped,2025-06-16 02:32:45
105,2,2,auto_mapped,2025-06-16 02:32:45
105,34,1,auto_mapped,2025-06-16 02:32:45
106,12,1,auto_mapped,2025-06-16 02:32:45
106,34,1,auto_mapped,2025-06-16 02:32:45
107,21,2,auto_mapped,2025-06-16 02:32:45
107,2,2,auto_mapped,2025-06-16 02:32:45
108,43,2,auto_mapped,2025-06-16 02:32:45
109,3,2,auto_mapped,2025-06-16 02:32:45
110,3,2,auto_mapped,2025-06-16 02:32:45
110,21,1,auto_mapped,2025-06-16 02:32:45
111,12,1,auto_mapped,2025-06-16 02:32:45
111,31,2,auto_mapped,2025-06-16 02:32:45
112,40,2,auto_mapped,2025-06-16 02:32:45
112,12,1,auto_mapped,2025-06-16 02:32:45
112,35,1,auto_mapped,2025-06-16 02:32:45
112,32,2,auto_mapped,2025-06-16 02:32:45
112,41,2,auto_mapped,2025-06-16 02:32:45
112,39,2,auto_mapped,2025-06-16 02:32:45
112,56,2,auto_mapped,2025-06-16 02:32:45
112,47,2,auto_mapped,2025-06-16 02:32:45
113,64,2,auto_mapped,2025-06-16 02:32:45
113,31,2,auto_mapped,2025-06-16 02:32:45
113,34,2,auto_mapped,2025-06-16 02:32:45
114,64,2,auto_mapped,2025-06-16 02:32:45
114,61,2,auto_mapped,2025-06-16 02:32:45
114,10,2,auto_mapped,2025-06-16 02:32:45
115,21,1,auto_mapped,2025-06-16 02:32:45
115,9,2,auto_mapped,2025-06-16 02:32:45
115,46,2,auto_mapped,2025-06-16 02:32:45
