film_id,film_title,film_year,production_companies,survival_status,archive_holdings,viewing_format,survival_notes,last_verified
86,Ramona,1910,Biograph Co.,unknown,,,,
77,Uncle Tom's Cabin,1910,Thanhouser Film Corp.,unknown,,,,
1,Mrs. Wiggs of the Cabbage Patch,1914,California Motion Picture Corp.,unknown,,,,
70,Tess of the Storm Country,1914,Famous Players Film Co.,unknown,,,,
107,The Mountain Rat,1914,Reliance Motion Picture Co.,unknown,,,,
78,Uncle Tom's Cabin,1914,World Producing Corp.,unknown,,,,
2,A Romance of Billy Goat Hill,1916,Universal Film Mfg Co. ,unknown,,,,
10,Judith of the Cumberlands,1916,Signal Film Corp.,unknown,,,,
87,Ramona,1916,Clune Film Producing Co.,unknown,,,,
97,The Awakening of Helena Richie,1916,"Rolfe Photoplays, Inc.",unknown,,,,
98,The Iron Woman,1916,"Popular Plays and Players, Inc.",unknown,,,,
82,The Place Beyond the Winds,1916,Universal Film Mfg Co. ,unknown,,,,
83,A Son of the Hills,1917,Vitagraph Co. of America,unknown,,,,
109,An Alabaster Box,1917,Vitagraph Co. of America; A Blue Ribbon Feature,unknown,,,,
47,Freckles,1917,Jesse L. Lasky Feature Play Co. ,unknown,,,,
3,Mr. Opp,1917,"Bluebird Photoplays, Inc.",unknown,,,,
90,Rebecca of Sunnybrook Farm,1917,Mary Pickford Film Corp.,unknown,,,,
108,Sunshine Alley,1917,Goldwyn Pictures Corp.,unknown,,,,
101,The Curse of Quon Gwon,1917,The Mandarin Film Company,unknown,,,,
113,The Primrose Ring,1917,Jesse L. Lasky Feature Play Co. ,unknown,,,,
71,The Secret of the Storm Country,1917,Norma Talmadge Film Corp.,unknown,,,,
13,Amarilly of Clothes-Line Alley,1918,Mary Pickford Film Corp.,unknown,,,,
36,Kildare of Storm,1918,Metro Pictures Corp.,unknown,,,,
4,Sandy,1918,Famous Players-Lasky Corp.,unknown,,,,
5,Sunshine Nan,1918,Famous Players-Lasky Corp.,unknown,,,,
69,The Panther Woman,1918,Petrova Picture Co.,unknown,,,,
95,The Silent Woman,1918,Metro Pictures Corp.,unknown,,,,
79,Uncle Tom's Cabin,1918,Famous Players-Lasky Corp.,unknown,,,,
32,Dawn,1919,"J. Stuart Blackton Feature Pictures, Inc.",unknown,,,,
110,False Evidence,1919,Metro Pictures Corp.,unknown,,,,
6,Mrs. Wiggs of the Cabbage Patch,1919,Famous Players-Lasky Corp.,unknown,,,,
38,Humoresque,1920,Cosmopolitan Productions,unknown,,,,
72,Judy of Rogue's Harbor,1920,Realart Pictures Corp.,unknown,,,,
73,Polly of the Storm Country,1920,Chaplin-Mayer Pictures Co.,unknown,,,,
33,Pollyanna,1920,Mary Pickford Co.,unknown,,,,
39,Just Around the Corner,1921,Cosmopolitan Productions,unknown,,,,
93,Nobody's Kid,1921,Robertson-Cole Pictures,unknown,,,,
84,Silent Years,1921,R-C Pictures ,unknown,,,,
11,Hungry Hearts,1922,Goldwyn Pictures Corp.,unknown,,,,
111,Little Miss Smiles,1922,Fox Film Corp.,unknown,,,,
115,Miss Lulu Bett,1922,Famous Players-Lasky Corp.,unknown,,,,
74,Tess of the Storm Country,1922,Mary Pickford Co.,unknown,,,,
40,The Good Provider,1922,Cosmopolitan Productions,unknown,,,,
48,Michael O'Halloran,1923,Gene Stratton-Porter Productions,unknown,,,,
49,A Girl of the Limberlost,1924,Gene Stratton Porter Productions ,unknown,,,,
23,So Big,1924,"First National Pictures, Inc.",unknown,,,,
12,Salome of the Tenements,1925,Famous Players-Lasky Corp.,unknown,,,,
50,The Keeper of the Bees,1925,"Gene Stratton Porter Productions, Inc.",unknown,,,,
80,The Pearl of Love,1925,Paul W. Whitcomb Productions,unknown,,,,
51,Laddie,1926,Gene Stratton-Porter Productions,unknown,,,,
7,Lovey Mary,1926,Metro-Goldwyn-Mayer Corp.,unknown,,,,
114,Sparrows,1926,The Pickford Corp.,unknown,,,,
52,The Harvester,1927,R-C Pictures Corp.,unknown,,,,
53,The Magic Garden,1927,"Gene Stratton Porter Productions, Inc.",unknown,,,,
81,Topsy and Eva,1927,"Feature Productions, Inc.",unknown,,,,
54,Freckles,1928,"F.B.O. Productions, Inc.",unknown,,,,
88,Ramona,1928,"Inspiration Pictures, Inc.",unknown,,,,
100,Linda,1929,Cliff Broughton Productions | Mrs. Wallace Reid Productions | Willis Kent Productions,unknown,,,,
85,Mother's Cry,1930,"First National Pictures, Inc.",likely extant,,,,
14,The Woman Who Was Forgotten,1930,"Woman Who Was Forgotten, Inc.",likely extant,,,,
24,Cimarron,1931,"RKO Radio Pictures, Inc.",likely extant,,,,
41,Back Street,1932,Universal Pictures Corp.,likely extant,,,,
91,Rebecca of Sunnybrook Farm,1932,Fox Film Corp.,likely extant,,,,
25,So Big,1932,"Warner Bros. Pictures, Inc.",likely extant,,,,
75,Tess of the Storm Country,1932,Fox Film Corp.,likely extant,,,,
55,A Girl of the Limberlost,1934,Monogram Pictures Corp.,likely extant,,,,
42,Imitation of Life,1934,Universal Pictures Corp.,likely extant,,,,
8,Mrs. Wiggs of the Cabbage Patch,1934,"Paramount Productions, Inc.",likely extant,,,,
56,Freckles,1935,"RKO Radio Pictures, Inc.",likely extant,,,,
57,Laddie,1935,"RKO Radio Pictures, Inc.",likely extant,,,,
58,The Keeper of the Bees,1935,Monogram Pictures Corp.,likely extant,,,,
26,Come and Get It,1936,"Howard Productions, Inc.",likely extant,,,,
89,Ramona,1936,Twentieth Century-Fox Film Corp.,likely extant,,,,
59,The Harvester,1936,Republic Pictures Corp.,likely extant,,,,
60,Michael O'Halloran,1937,Republic Pictures Corp.,likely extant,,,,
31,Underworld,1937,Micheaux Pictures Corp.,likely extant,,,,
92,Rebecca of Sunnybrook Farm,1938,Twentieth Century-Fox Film Corp.,likely extant,,,,
61,Romance of the Limberlost,1938,Monogram Pictures Corp.,likely extant,,,,
99,Gone with the Wind,1939,"Selznick International Pictures, Inc.",likely extant,,,,
62,Her First Romance,1940,Monogram Pictures Corp.,likely extant,,,,
63,Laddie,1940,"RKO Radio Pictures, Inc.",likely extant,,,,
43,Back Street,1941,"Universal Pictures Company, Inc.",likely extant,,,,
15,Cheers for Miss Bishop,1941,"Richard A. Rowland Productions, Inc.",likely extant,,,,
68,Freckles Comes Home,1942,"Monogram Productions, Inc.",likely extant,,,,
37,In This Our Life,1942,"Warner Bros. Pictures, Inc.",likely extant,,,,
9,Mrs. Wiggs of the Cabbage Patch,1942,"Paramount Pictures, Inc.",likely extant,,,,
112,The Vanishing Virginian,1942,Metro-Goldwyn-Mayer Corp.,likely extant,,,,
105,My Friend Flicka,1943,Twentieth Century-Fox Film Corp.,likely extant,,,,
17,A Tree Grows in Brooklyn,1945,Twentieth Century-Fox Film Corp.,likely extant,,,,
64,The Girl of the Limberlost,1945,Columbia Pictures Corp.,likely extant,,,,
44,Humoresque,1947,"Warner Bros. Pictures, Inc.",likely extant,,,,
65,Keeper of the Bees,1947,Columbia Pictures Corp.,likely extant,,,,
22,That Hagen Girl,1947,"Warner Bros. Pictures, Inc.",likely extant,,,,
16,The Egg and I,1947,"Universal-International Pictures Co., Inc.",likely extant,,,,
102,The Yearling,1947,Metro-Goldwyn-Mayer Corp.,likely extant,,,,
106,Green Grass of Wyoming,1948,Twentieth Century-Fox Film Corp.,likely extant,,,,
94,I Remember Mama,1948,"RKO Radio Pictures, Inc.",likely extant,,,,
66,Michael O'Halloran,1948,Windsor Pictures Corp.,likely extant,,,,
19,Pinky,1949,Twentieth Century-Fox Film Corp.,likely extant,,,,
103,The Sun Comes Up,1949,Metro-Goldwyn-Mayer Corp.,likely extant,,,,
34,Has Anybody Seen My Gal,1952,"Universal-International Pictures Co., Inc.",likely extant,,,,
104,Bright Road,1953,Metro-Goldwyn-Mayer Corp.,likely extant,,,,
27,So Big,1953,"Warner Bros. Pictures, Inc.",likely extant,,,,
18,The Member of the Wedding,1953,"Stanley Kramer Co., Inc.",likely extant,,,,
96,Lucy Gallant,1955,Paramount Pictures Corp. | Pine-Thomas Productions,likely extant,,,,
28,Giant,1956,"Warner Bros. Pictures, Inc.",likely extant,,,,
20,Tammy and the Bachelor,1957,"Universal-International Pictures Co., Inc.",likely extant,,,,
45,Imitation of Life,1959,"Universal-International Pictures Co., Inc.",likely extant,,,,
21,The Hanging Tree,1959,"Baroda Productions, Inc.",likely extant,,,,
29,Cimarron,1960,Metro-Goldwyn-Mayer Corp.,likely extant,,,,
67,Freckles,1960,"Associated Producers, Inc.",likely extant,,,,
30,Ice Palace,1960,"Warner Bros. Pictures, Inc.",likely extant,,,,
35,Pollyanna,1960,Walt Disney Productions ,likely extant,,,,
76,Tess of the Storm Country,1960,"Associated Producers, Inc.",likely extant,,,,
46,Back Street,1961,"Carrollton, Inc. | Ross Hunter Productions, Inc.",likely extant,,,,
