film_id,confidence,sources,source_title,source_type,source_year,based_on_raw,survival_status,archive_holdings,viewing_format,archive_url,survival_notes
46,high,"wikidata, wikipedia",Back Street,novel,,,likely extant,,,,"Post-1950 film, preservation likely"
29,high,"wikidata, wikipedia",Cimarron,novel,,,likely extant,,video on demand,,"Post-1950 film, preservation likely"
30,low,wikipedia,,,,,likely extant,,,,"Post-1950 film, preservation likely"
35,high,"wikidata, wikipedia",Pollyanna,novel,,Pollyanna  by Eleanor Porter,likely extant,,"theatrical release, video on demand",,"Post-1950 film, preservation likely"
67,low,wikipedia,,,,,likely extant,,,,"Post-1950 film, preservation likely"
76,high,"wikidata, wikipedia",Tess of the Storm Country,novel,,Tess of the Storm Country by Grace Miller White,likely extant,,,,"Post-1950 film, preservation likely"
21,high,"wikidata, wikipedia",,,,,likely extant,Museum of Modern Art,video on demand,,"Post-1950 film, preservation likely"
45,high,"wikidata, wikipedia",Imitation of Life,novel,,,likely extant,Library of Congress,video on demand,,"Post-1950 film, preservation likely"
20,low,wikipedia,,,,,likely extant,,,,"Post-1950 film, preservation likely"
28,high,"wikidata, wikipedia",,,,,extant,Library of Congress,video on demand,RfBypZ0rucU,
96,low,wikipedia,,,,,likely extant,,,,"Post-1950 film, preservation likely"
18,high,"wikidata, wikipedia",,,,,likely extant,,,,"Post-1950 film, preservation likely"
27,low,wikipedia,,,,,likely extant,"Library of Congress, Museum of Modern Art",,,"Post-1950 film, preservation likely"
104,low,wikipedia,,,,,likely extant,,,,"Post-1950 film, preservation likely"
34,high,"wikidata, wikipedia",,,,,likely extant,,video on demand,,"Post-1950 film, preservation likely"
19,high,"wikidata, wikipedia",,,,,,,video on demand,,
103,high,"wikidata, wikipedia",,,,,extant,"UCLA Film and Television Archive, BFI National Archive",,31cflfKTXQQ,
66,high,wikipedia,Michael O'Halloran,novel,,Michael O'Halloran by Gene Stratton-Porter,,,,,
94,high,"wikidata, wikipedia",,,,,,,video on demand,,
106,low,wikipedia,,,,,,,,,
16,high,"wikidata, wikipedia",The Egg and I,,,,,,video on demand,,
22,high,"wikidata, wikipedia",The Other,,,,,,video on demand,,
44,high,"wikidata, wikipedia",,,,,,,video on demand,,
65,low,wikipedia,,,,,lost,Library of Congress,,,
102,high,"wikidata, wikipedia",The Yearling,novel,,,,,video on demand,,
17,high,"wikidata, wikipedia",A Tree Grows in Brooklyn,novel,,,,Library of Congress,video on demand,,
64,high,"wikidata, wikipedia",A Girl of the Limberlost,novel,,,,,,,
105,high,"wikidata, wikipedia",My Friend Flicka,novel,,,,,video on demand,,
9,low,wikipedia,,,,,,,,,
37,low,wikipedia,,,,,,,,,
68,low,wikipedia,,,,,,,,,
112,low,wikipedia,,,,,,,,,
15,low,,,,,,,,,,
43,high,"wikidata, wikipedia",Back Street,novel,,Back Street by Fannie Hurst,,,,,
62,low,wikipedia,,,,,,,,,
63,low,wikipedia,,,,,,,,,
99,high,"wikidata, wikipedia",Gone with the Wind,novel,,,extant,Library of Congress,video on demand,NI2F-OQStSA,
61,low,wikipedia,,,,,,,,,
92,high,"wikidata, wikipedia",,,,,extant,,video on demand,gGUWQ5AWU3o,
31,low,wikipedia,,,,,,,,,
60,high,wikipedia,Michael O'Halloran,novel,,Michael O'Halloran by Gene Stratton-Porter,,,,,
26,high,"wikidata, wikipedia",,,,,,,video on demand,,
59,low,wikipedia,,,,,,,,,
89,low,wikipedia,,,,,,,,,
56,low,wikipedia,,,,,,,,,
57,low,wikipedia,,,,,lost,Academy Film Archive,,,
58,low,wikipedia,,,,,,,,,
8,low,wikipedia,,,,,,,,,
42,high,"wikidata, wikipedia",Imitation of Life,novel,,,,Library of Congress,video on demand,,
55,high,"wikidata, wikipedia",A Girl of the Limberlost,novel,,,,,,,
25,low,wikipedia,,,,,,,,,
41,high,"wikidata, wikipedia",Back Street,novel,,,,,,,
75,high,"wikidata, wikipedia",Tess of the Storm Country,novel,,Grace Miller White(novel)Rupert Hughes(play),,,,,
91,low,wikipedia,,,,,,,,,
24,high,"wikidata, wikipedia",Cimarron,novel,,,,,video on demand,,
14,high,"wikidata, wikipedia",,,,,extant,,,9FYHUD0VVHU,
85,high,"wikidata, wikipedia",,,,,,,video on demand,,
100,low,wikipedia,,,,,,Library of Congress,,,
54,low,wikipedia,,,,,,,,,
88,high,"wikidata, wikipedia",,,,,extant,Library of Congress,,46X68vCbXPo,
52,low,wikipedia,,,,,,,,,
53,low,wikipedia,,,,,,Library of Congress,,,
81,high,"wikidata, wikipedia",Uncle Tom's Cabin,novel,,,,"the [[Library of Congress]], Library of Congress",,,
7,low,wikipedia,,,,,lost,,,,
51,low,wikipedia,,,,,,,,,
12,low,,,,,,,,,,
50,low,wikipedia,,,,,,"a bot from the original cite located at Special:Permalink/883544288 cite #2 - verify the cite is accurate and delete this template, a bot from the original cite located at Special:Permalink/883544288 cite #3 - verify the cite is accurate and delete this template, Library of Congress",,,
80,high,"wikidata, wikipedia",The Necklace,,,,,,,,
23,low,wikipedia,,,,,lost,Library of Congress,,,
49,low,wikipedia,,,,,lost,,,,
48,high,wikipedia,Michael O'Halloran,novel,,Michael O'Halloran by Gene Stratton-Porter,,,,,
11,low,wikipedia,,,,,,"Library of Congress, Academy Film Archive",,,
40,low,wikipedia,,,,,,,,,
74,high,"wikidata, wikipedia",Tess of the Storm Country,novel,,,extant,,video on demand,,
111,high,"wikidata, wikipedia",,,,,,,video on demand,,
115,high,"wikidata, wikipedia",Miss Lulu Bett,novel,,,,Library of Congress,,,
39,low,wikipedia,,,,,,Library of Congress,,,
84,high,"wikidata, wikipedia",,,,,extant,Library of Congress,video on demand,0wg7QjQztlk,
93,high,"wikidata, wikipedia",,,,,,,video on demand,,
33,high,"wikidata, wikipedia",Pollyanna,novel,,,extant,the Mary Pickford Institute for Film Education (The Pickford Corporation also owns the copyright),,y7JokqnbNQQ,
38,low,wikipedia,,,,,,"Library of Congress, UCLA Film and Television Archive",,,
72,low,wikipedia,,,,,lost,,,,
6,low,wikipedia,,,,,extant,"the [[Library of Congress]], one of Clark's few surviving silent films, Library of Congress",,,
32,low,wikipedia,,,,| starring       = Tom CooperDonal O'Cahill	Eileen Davis	Brian O'Sullivan	James Gleeson	Gerry O'Mahony	Bill Murphy	Marion O'Connell,,[[RTÃ‰]] and the [[Irish Film Institute]],,,
110,low,wikipedia,,,,,,"the [[CINEMATEK|Cinematheque Royale de Belgique]], Library of Congress",,,
4,low,wikipedia,,,,,,,,,
5,low,wikipedia,,,,,,"the Library of Congress but not in LoC/FIAF database as it is considered a short at 4 reels, Library of Congress",,,
13,low,wikipedia,,,,,lost,,,,
36,low,,,,,,,,,,
69,high,"wikidata, wikipedia",,,,,,,video on demand,hW-m_ZTX2-0,
79,high,"wikidata, wikipedia",Uncle Tom's Cabin,novel,,,lost,,,,
3,low,wikipedia,,,,,,,,,
47,low,wikipedia,,,,,lost,Library of Congress,,,
71,low,wikipedia,,,,,,,,,
83,low,wikipedia,,,,,,,,,
90,high,"wikidata, wikipedia",Rebecca of Sunnybrook Farm,novel,,,extant,,,,
109,low,wikipedia,,,,,,,,,
113,high,wikipedia,The Primrose Ring,novel,,The Primrose Ring by Ruth Sawyer,,Library of Congress,,,
2,low,,,,,,,,,,
10,low,wikipedia,,,,,,,,,
82,low,wikipedia,,,,,lost,Library of Congress,,,
87,low,wikipedia,,,,,lost,Library of Congress,,,
97,high,"wikidata, wikipedia",The Awakening of Helena Richie,,,,extant,Library of Congress,,,
98,low,wikipedia,,,,,lost,,,,
1,low,wikipedia,,,,,,,,,
70,high,"wikidata, wikipedia",Tess of the Storm Country,novel,,,extant,Library of Congress,,,
78,high,"wikidata, wikipedia",Uncle Tom's Cabin,novel,,,,Library of Congress,,,
77,low,wikipedia,,,,,lost,,,,
86,high,"wikidata, wikipedia",Ramona,novel,,,extant,"Library of Congress, Museum of Modern Art",,,
